Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
lambda.cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	4066.0	6291.0	3669.0	1.0	1.0	0.9	1483072.0	423672.0	648398.0	396976.0
lambda.cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	6581.0	9999.0	5845.0	0.8	0.8	0.7	2952808.0	833066.0	1314266.0	783051.0
lambda.cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	4493.0	7009.0	4198.0	0.8	0.8	0.8	1918597.0	544897.0	845310.0	512690.0
lambda.cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	5669.0	8440.0	5006.0	0.7	0.7	0.7	2866584.0	811824.0	1274560.0	761085.0
lambda.cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	7225.0	10939.0	6453.0	0.9	0.9	0.9	2708535.0	767221.0	1198829.0	717868.0
lambda.cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	3137.0	4608.0	2683.0	0.8	0.8	0.7	1361990.0	390040.0	595904.0	365618.0
lambda.cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	3986.0	5841.0	3575.0	0.7	0.7	0.7	1857608.0	528355.0	817424.0	498427.0
lambda.cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	7786.0	11994.0	7001.0	0.8	0.8	0.8	3397367.0	949337.0	1526344.0	894905.0
lambda.cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	7920.0	12250.0	7204.0	0.9	0.8	0.8	3270880.0	916919.0	1462902.0	863685.0
lambda.cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	6958.0	10606.0	6308.0	0.8	0.7	0.7	3217283.0	904657.0	1436512.0	852242.0
lambda.cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	1025.0	1528.0	950.0	0.7	0.6	0.6	540777.0	155559.0	236104.0	145611.0
lambda.cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	7531.0	12003.0	6990.0	0.8	0.8	0.8	3201296.0	899278.0	1430638.0	844856.0
lambda.cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	3611.0	5341.0	3235.0	0.6	0.6	0.6	1995127.0	571044.0	877288.0	534608.0
lambda.cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	5967.0	9102.0	5602.0	1.2	1.2	1.2	1744484.0	497234.0	762394.0	464185.0
lambda.cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	2776.0	4101.0	2621.0	0.7	0.7	0.7	1336876.0	384403.0	584434.0	358541.0
lambda.cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	2104.0	3493.0	2042.0	0.6	0.7	0.6	1187493.0	339705.0	518735.0	321414.0
lambda.cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	2994.0	4723.0	2904.0	0.7	0.7	0.7	1502319.0	430859.0	656802.0	404037.0
lambda.cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	5050.0	7404.0	4824.0	0.7	0.7	0.7	2476927.0	702969.0	1096847.0	659833.0
lambda.cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	4454.0	6584.0	4224.0	0.7	0.7	0.8	2078392.0	592699.0	915399.0	555032.0
lambda.cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	7056.0	10838.0	6539.0	0.8	0.8	0.8	2932902.0	826441.0	1305089.0	776939.0
lambda.cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	2473.0	3680.0	2361.0	1.1	1.0	1.1	804208.0	229819.0	349593.0	216282.0
lambda.cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	2733.0	4397.0	2649.0	0.5	0.5	0.5	2077424.0	593911.0	920013.0	553721.0
lambda.cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	7129.0	11278.0	6780.0	0.9	0.9	0.9	2742072.0	776658.0	1212882.0	727345.0
lambda.cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	7144.0	11297.0	6989.0	1.0	1.0	1.0	2519169.0	712070.0	1113547.0	668122.0
lambda.cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	1633.0	2482.0	1537.0	0.5	0.5	0.5	1108394.0	318715.0	484299.0	299728.0
lambda.cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	6277.0	9859.0	6142.0	0.7	0.7	0.7	3145531.0	883652.0	1405315.0	834286.0
lambda.cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	4400.0	6875.0	4186.0	0.8	0.8	0.9	1832615.0	523013.0	805919.0	488222.0
lambda.cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	3661.0	5765.0	3572.0	0.8	0.8	0.8	1669063.0	478517.0	729804.0	447744.0
lambda.cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	3659.0	5567.0	3366.0	0.7	0.7	0.7	1921282.0	550194.0	844016.0	514480.0
lambda.cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	2096.0	3449.0	2085.0	0.8	0.9	0.9	891051.0	255823.0	387537.0	240061.0
lambda.cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	4553.0	7239.0	4162.0	1.0	1.1	1.0	1512834.0	432647.0	659500.0	404733.0
lambda.cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	7262.0	11284.0	6751.0	0.9	0.9	0.9	2694978.0	762591.0	1193101.0	713989.0
lambda.cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	5707.0	8992.0	5289.0	0.8	0.9	0.8	2362569.0	670791.0	1044443.0	627347.0
lambda.cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	1519.0	2265.0	1393.0	0.5	0.5	0.5	953478.0	275718.0	415253.0	257330.0
lambda.cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	2378.0	3672.0	2185.0	0.8	0.9	0.8	963093.0	277757.0	418203.0	258898.0
lambda.cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	6171.0	9594.0	6011.0	0.8	0.8	0.9	2626381.0	744438.0	1163982.0	696185.0
lambda.cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	9198.0	14036.0	8525.0	1.2	1.2	1.2	2672628.0	752811.0	1181081.0	706977.0
lambda.cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	4943.0	7902.0	4702.0	0.8	0.8	0.8	2193056.0	625105.0	965642.0	584762.0
lambda.cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	579.0	873.0	512.0	0.7	0.7	0.6	304551.0	88207.0	131464.0	82916.0
