Time (HH:MM:SS) - Plot 0	RFU - Plot 0
1236.82	11
1237.83	9
1238.83	9
1239.83	8
1240.83	7
1241.83	7
1242.83	7
1243.83	7
1244.83	7
1245.83	7
1246.83	7
1247.83	7
1248.83	6
1249.83	6
1250.83	7
1251.83	7
1252.84	7
1253.84	7
1254.84	6
1255.84	6
1256.84	5
1257.84	4
1258.84	3
1259.84	3
1260.84	2
1261.84	2
1262.84	1
1263.84	1
1264.84	1
1265.84	1
1266.84	1
1267.85	1
1268.85	1
1269.85	1
1270.85	1
1271.85	1
1272.85	1
1273.85	0
1274.85	0
1275.85	0
1276.85	0
1277.85	0
1278.85	0
1279.85	0
1280.85	0
1281.85	1
1282.86	1
1283.86	1
1284.86	1
1285.86	1
1286.86	0
1287.86	1
1288.86	1
1289.86	1
1290.86	1
1291.86	0
1292.86	0
1293.86	1
1294.86	1
1295.86	1
1296.86	1
1297.87	1
1298.87	0
1299.87	0
1300.87	0
1301.87	1
1302.87	2
1303.87	3
1304.87	3
1305.87	3
1306.87	2
1307.87	1
1308.87	1
1309.87	1
1310.87	1
1311.87	1
1312.88	1
1313.88	1
1314.88	1
1315.88	1
1316.88	1
1317.88	1
1318.88	1
1319.88	1
1320.88	0
1321.88	0
1322.88	1
1323.88	1
1324.88	1
1325.88	1
1326.88	0
1327.89	0
1328.89	0
1329.89	0
1330.89	1
1331.89	1
1332.89	1
1333.89	0
1334.89	0
1335.89	1
1336.89	1
1337.89	1
1338.89	1
1339.89	1
1340.89	1
1341.89	1
1342.9	2
1343.9	2
1344.9	1
1345.9	1
1346.9	0
1347.9	1
1348.9	1
1349.9	2
1350.9	2
1351.9	3
1352.9	3
1353.9	3
1354.9	3
1355.9	3
1356.9	3
1357.91	8
1358.91	41
1359.91	181
1360.91	543
1361.91	1105
1362.91	1566
1363.91	1566
1364.91	1107
1365.91	549
1366.91	191
1367.91	50
1368.91	16
1369.91	10
1370.91	9
1371.91	9
1372.92	9
1373.92	9
1374.92	10
1375.92	9
1376.92	7
1377.92	6
1378.92	4
1379.92	4
1380.92	3
1381.92	3
1382.92	3
1383.92	3
1384.92	3
1385.92	3
1386.92	3
1387.93	3
1388.93	3
1389.93	2
1390.93	1
1391.93	1
1392.93	1
1393.93	1
1394.93	0
1395.93	0
1396.93	0
1397.93	1
1398.93	1
1399.93	1
1400.93	0
1401.93	1
1402.94	1
1403.94	1
1404.94	0
1405.94	0
1406.94	0
1407.94	0
1408.94	0
1409.94	0
1410.94	0
1411.94	0
1412.94	0
1413.94	0
1414.94	0
1415.94	0
1416.94	0
1417.95	0
1418.95	0
1419.95	0
1420.95	0
1421.95	0
1422.95	0
1423.95	0
1424.95	0
1425.95	0
1426.95	1
1427.95	1
1428.95	1
1429.95	0
1430.95	0
1431.95	0
1432.96	0
1433.96	0
1434.96	1
1435.96	1
1436.96	1
1437.96	2
1438.96	2
1439.96	2
1440.96	1
1441.96	1
1442.96	1
1443.96	1
1444.96	2
1445.96	2
1446.96	2
1447.97	1
1448.97	1
1449.97	1
1450.97	1
1451.97	2
1452.97	2
1453.97	2
1454.97	1
1455.97	1
1456.97	1
1457.97	1
1458.97	1
1459.97	1
1460.97	0
1461.97	0
1462.98	0
1463.98	0
1464.98	0
1465.98	0
1466.98	1
1467.98	2
1468.98	3
1469.98	3
1470.98	3
1471.98	2
1472.98	2
1473.98	1
1474.98	2
1475.98	2
1476.98	2
1477.99	2
1478.99	3
1479.99	3
1480.99	4
1481.99	4
1482.99	4
1483.99	4
1484.99	4
1485.99	6
1486.99	25
1487.99	122
1488.99	423
1489.99	1006
1490.99	1671
1491.99	1974
1493	1671
1494	1010
1495	435
1496	136
1497	38
1498	16
1499	12
1500	11
1501	11
1502	11
1503	10
1504	9
1505	8
1506	7
1507	6
1508.01	6
1509.01	5
1510.01	5
1511.01	5
1512.01	4
1513.01	4
1514.01	4
1515.01	3
1516.01	2
1517.01	2
1518.01	2
1519.01	2
1520.01	2
1521.01	2
1522.01	2
1523.02	1
1524.02	1
1525.02	1
1526.02	1
1527.02	1
1528.02	1
1529.02	1
1530.02	1
1531.02	0
1532.02	0
1533.02	0
1534.02	0
1535.02	0
1536.02	0
1537.02	0
1538.03	1
1539.03	1
1540.03	1
1541.03	1
1542.03	1
1543.03	2
1544.03	2
1545.03	2
1546.03	2
1547.03	2
1548.03	1
1549.03	1
1550.03	1
1551.03	2
1552.03	3
1553.04	3
1554.04	2
1555.04	1
1556.04	1
1557.04	1
1558.04	1
1559.04	2
1560.04	2
1561.04	1
1562.04	1
1563.04	1
1564.04	1
1565.04	1
1566.04	1
1567.04	1
1568.05	1
1569.05	1
1570.05	1
1571.05	1
1572.05	1
1573.05	2
1574.05	3
1575.05	3
1576.05	2
1577.05	2
1578.05	2
1579.05	3
1580.05	3
1581.05	3
1582.05	3
1583.06	3
1584.06	4
1585.06	4
1586.06	3
1587.06	3
1588.06	3
1589.06	4
1590.06	5
1591.06	6
1592.06	6
1593.06	7
1594.06	7
1595.06	7
1596.06	6
1597.06	6
1598.07	6
1599.07	6
1600.07	7
1601.07	7
1602.07	8
1603.07	9
1604.07	10
1605.07	11
1606.07	20
1607.07	78
1608.07	333
1609.07	1074
1610.07	2518
1611.07	4308
1612.07	5431
1613.08	5067
1614.08	3504
1615.08	1804
1616.08	710
1617.08	241
1618.08	98
1619.08	60
1620.08	47
1621.08	40
1622.08	35
1623.08	31
1624.08	28
1625.08	25
1626.08	22
1627.08	20
1628.09	17
1629.09	15
1630.09	14
1631.09	12
1632.09	11
1633.09	11
1634.09	10
1635.09	9
1636.09	8
1637.09	8
1638.09	7
1639.09	7
1640.09	7
1641.09	6
1642.09	5
1643.1	5
1644.1	5
1645.1	4
1646.1	4
1647.1	3
1648.1	3
1649.1	3
1650.1	3
1651.1	3
1652.1	2
1653.1	2
1654.1	2
1655.1	2
1656.1	2
1657.1	2
1658.11	1
1659.11	1
1660.11	1
1661.11	2
1662.11	2
1663.11	2
1664.11	1
1665.11	1
1666.11	1
1667.11	2
1668.11	2
1669.11	2
1670.11	2
1671.11	2
1672.11	2
1673.12	2
1674.12	2
1675.12	2
1676.12	2
1677.12	2
1678.12	2
1679.12	2
1680.12	2
1681.12	2
1682.12	2
1683.12	2
1684.12	2
1685.12	2
1686.12	2
1687.12	2
1688.13	2
1689.13	2
1690.13	3
1691.13	3
1692.13	3
1693.13	3
1694.13	4
1695.13	5
1696.13	6
1697.13	8
1698.13	9
1699.13	9
1700.13	8
1701.13	7
1702.13	6
1703.14	6
1704.14	10
1705.14	24
1706.14	64
1707.14	162
1708.14	360
1709.14	688
1710.14	1125
1711.14	1559
1712.14	1805
1713.14	1715
1714.14	1310
1715.14	793
1716.14	379
1717.14	149
1718.15	56
1719.15	27
1720.15	18
1721.15	15
1722.15	13
1723.15	11
1724.15	9
1725.15	8
1726.15	7
1727.15	7
1728.15	7
1729.15	6
1730.15	5
1731.15	4
1732.15	4
1733.16	3
1734.16	3
1735.16	3
1736.16	2
1737.16	1
1738.16	1
1739.16	2
1740.16	2
1741.16	3
1742.16	3
1743.16	2
1744.16	2
1745.16	2
1746.16	2
1747.16	2
1748.17	1
1749.17	1
1750.17	2
1751.17	2
1752.17	3
1753.17	3
1754.17	2
1755.17	1
1756.17	0
1757.17	0
1758.17	0
1759.17	1
1760.17	1
1761.17	0
1762.17	0
1763.18	1
1764.18	1
1765.18	1
1766.18	1
1767.18	1
1768.18	2
1769.18	2
1770.18	2
1771.18	1
1772.18	1
1773.18	1
1774.18	1
1775.18	1
1776.18	1
1777.18	0
1778.19	0
1779.19	1
1780.19	2
1781.19	2
1782.19	2
1783.19	3
1784.19	3
1785.19	3
1786.19	3
1787.19	3
1788.19	4
1789.19	5
1790.19	7
1791.19	22
1792.19	79
1793.2	246
1794.2	600
1795.2	1142
1796.2	1700
1797.2	1981
1798.2	1809
1799.2	1294
1800.2	726
1801.2	323
1802.2	121
1803.2	46
1804.2	26
1805.2	20
1806.2	17
1807.2	14
1808.21	12
1809.21	11
1810.21	9
1811.21	9
1812.21	8
1813.21	7
1814.21	6
1815.21	6
1816.21	5
1817.21	5
1818.21	4
1819.21	4
1820.21	3
1821.21	1
1822.21	1
1823.22	1
1824.22	2
1825.22	3
1826.22	3
1827.22	2
1828.22	1
1829.22	1
1830.22	1
1831.22	1
1832.22	2
1833.22	2
1834.22	1
1835.22	1
1836.22	1
1837.22	1
1838.23	1
1839.23	2
1840.23	1
1841.23	1
1842.23	0
1843.23	0
1844.23	0
1845.23	0
1846.23	0
1847.23	1
1848.23	0
1849.23	0
1850.23	1
1851.23	1
1852.23	1
1853.24	2
1854.24	2
1855.24	1
1856.24	1
1857.24	1
1858.24	1
1859.24	1
1860.24	2
1861.24	2
1862.24	2
1863.24	2
1864.24	2
1865.24	2
1866.24	1
1867.24	1
1868.25	1
1869.25	2
1870.25	3
1871.25	10
1872.25	38
1873.25	124
1874.25	328
1875.25	692
1876.25	1162
1877.25	1558
1878.25	1674
1879.25	1446
1880.25	1006
1881.25	566
1882.25	263
1883.26	108
1884.26	46
1885.26	27
1886.26	21
1887.26	18
1888.26	17
1889.26	16
1890.26	16
1891.26	15
1892.26	14
1893.26	12
1894.26	9
1895.26	7
1896.26	6
1897.26	5
1898.27	4
1899.27	3
1900.27	4
1901.27	4
1902.27	3
1903.27	2
1904.27	1
1905.27	1
1906.27	1
1907.27	2
1908.27	2
1909.27	2
1910.27	2
1911.27	2
1912.27	1
1913.28	1
1914.28	1
1915.28	1
1916.28	0
1917.28	0
1918.28	0
1919.28	0
1920.28	0
1921.28	1
1922.28	1
1923.28	1
